Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04 00:00:00-05:00,7.622499942779541,7.660714149475098,7.585000038146973,7.643214225769043,6.526020050048828,493729600
2010-01-05 00:00:00-05:00,7.664286136627197,7.699643135070801,7.6160712242126465,7.656428813934326,6.537303447723389,601904800
2010-01-06 00:00:00-05:00,7.656428813934326,7.68678617477417,7.526785850524902,7.534643173217773,6.433318138122559,552160000
2010-01-07 00:00:00-05:00,7.5625,7.5714287757873535,7.466071128845215,7.520713806152344,6.421426773071289,477131200
2010-01-08 00:00:00-05:00,7.510714054107666,7.5714287757873535,7.466429233551025,7.570713996887207,6.464118480682373,447610800
2010-01-11 00:00:00-05:00,7.599999904632568,7.607142925262451,7.444643020629883,7.503929138183594,6.4070940017700195,462229600
2010-01-12 00:00:00-05:00,7.471070766448975,7.491786003112793,7.372142791748047,7.4185709953308105,6.334212779998779,594459600
2010-01-13 00:00:00-05:00,7.423929214477539,7.533214092254639,7.289286136627197,7.523213863372803,6.423560619354248,605892000
2010-01-14 00:00:00-05:00,7.503929138183594,7.5164289474487305,7.465000152587891,7.479642868041992,6.386356353759766,432894000
2010-01-15 00:00:00-05:00,7.533214092254639,7.557143211364746,7.352499961853027,7.354642868041992,6.279629230499268,594067600
2010-01-19 00:00:00-05:00,7.440357208251953,7.685357093811035,7.401429176330566,7.679999828338623,6.557427406311035,730007600
2010-01-20 00:00:00-05:00,7.675356864929199,7.698214054107666,7.482142925262451,7.56178617477417,6.4564948081970215,612152800
2010-01-21 00:00:00-05:00,7.574285984039307,7.618214130401611,7.400356769561768,7.431070804595947,6.344884395599365,608154400
2010-01-22 00:00:00-05:00,7.385000228881836,7.410714149475098,7.041429042816162,7.0625,6.030187129974365,881767600
2010-01-25 00:00:00-05:00,7.232500076293945,7.310713768005371,7.1496429443359375,7.252500057220459,6.192416667938232,1065699600
2010-01-26 00:00:00-05:00,7.3553571701049805,7.632500171661377,7.235000133514404,7.355000019073486,6.279932975769043,1867110000
2010-01-27 00:00:00-05:00,7.387499809265137,7.520713806152344,7.126070976257324,7.424285888671875,6.339093208312988,1722568400
2010-01-28 00:00:00-05:00,7.318929195404053,7.339285850524902,7.096428871154785,7.117499828338623,6.077147960662842,1173502400
